ID,sex,age,handedness,condition,leftButton,block,trial,intensity,direction,intF,response,respF,correct,sayhigh,sayhi,rt,TS_MoogStart,TS_Resp,order
1,m,26,right,speeded,low,1,1,0.046,1,low,0,left,1,low,0,1.425,3.905,5.33,1
1,m,26,right,speeded,low,1,2,0.052,0,low,1,right,0,high,1,1.173,8.453,9.626,1
1,m,26,right,speeded,low,1,3,0.065,1,high,1,right,1,high,1,1.016,12.969,13.985,1
1,m,26,right,speeded,low,1,4,0.074,0,high,1,right,1,high,1,1.401,17.501,18.902,1
1,m,26,right,speeded,low,1,5,0.065,1,high,0,left,0,low,0,1.357,22.016,23.373,1
1,m,26,right,speeded,low,1,6,0.055,0,low,0,left,1,low,0,1.771,26.547,28.318,1
1,m,26,right,speeded,low,1,7,0.065,1,high,1,right,1,high,1,1.404,31.062,32.466,1
1,m,26,right,speeded,low,1,8,0.046,0,low,0,left,1,low,0,1.427,35.594,37.021,1
1,m,26,right,speeded,low,1,9,0.071,1,high,0,left,0,low,0,1.626,40.126,41.752,1
1,m,26,right,speeded,low,1,10,0.068,0,high,1,right,1,high,1,1.417,44.658,46.075,1
1,m,26,right,speeded,low,1,11,0.074,1,high,1,right,1,high,1,1.928,49.189,51.117,1
1,m,26,right,speeded,low,1,12,0.068,0,high,1,right,1,high,1,1.409,53.738,55.147,1
1,m,26,right,speeded,low,1,13,0.046,1,low,0,left,1,low,0,1.344,58.204,59.548,1
1,m,26,right,speeded,low,1,14,0.068,0,high,1,right,1,high,1,0.780999999999999,62.768,63.549,1
1,m,26,right,speeded,low,1,15,0.049,1,low,0,left,1,low,0,1.22200000000001,67.317,68.539,1
1,m,26,right,speeded,low,1,16,0.071,0,high,1,right,1,high,1,1.538,71.815,73.353,1
1,m,26,right,speeded,low,1,17,0.074,1,high,1,right,1,high,1,1.16900000000001,76.38,77.549,1
1,m,26,right,speeded,low,1,18,0.074,0,high,1,right,1,high,1,1.65900000000001,80.928,82.587,1
1,m,26,right,speeded,low,1,19,0.055,1,low,0,left,1,low,0,1.95700000000001,85.41,87.367,1
1,m,26,right,speeded,low,1,20,0.055,0,low,0,left,1,low,0,2.101,89.959,92.06,1
1,m,26,right,speeded,low,1,21,0.071,1,high,1,right,1,high,1,2.408,94.64,97.048,1
1,m,26,right,speeded,low,1,22,0.071,0,high,1,right,1,high,1,1.45099999999999,99.67,101.121,1
1,m,26,right,speeded,low,1,23,0.071,1,high,0,left,0,low,0,1.423,104.201,105.624,1
1,m,26,right,speeded,low,1,24,0.046,0,low,0,left,1,low,0,1.336,108.75,110.086,1
1,m,26,right,speeded,low,1,25,0.049,1,low,1,right,0,high,1,0.971000000000004,113.282,114.253,1
1,m,26,right,speeded,low,1,26,0.052,0,low,1,right,0,high,1,1.55800000000001,117.847,119.405,1
1,m,26,right,speeded,low,1,27,0.068,1,high,1,right,1,high,1,1.51100000000001,122.362,123.873,1
1,m,26,right,speeded,low,1,28,0.055,0,low,0,left,1,low,0,1.66300000000001,126.91,128.573,1
1,m,26,right,speeded,low,1,29,0.074,1,high,1,right,1,high,1,1.298,131.409,132.707,1
1,m,26,right,speeded,low,1,30,0.055,0,low,1,right,0,high,1,1.762,135.907,137.669,1
1,m,26,right,speeded,low,1,31,0.068,1,high,1,right,1,high,1,1.48500000000001,140.456,141.941,1
1,m,26,right,speeded,low,1,32,0.052,0,low,0,left,1,low,0,1.32399999999998,144.954,146.278,1
1,m,26,right,speeded,low,1,33,0.074,1,high,1,right,1,high,1,1.25899999999999,149.453,150.712,1
1,m,26,right,speeded,low,1,34,0.068,0,high,1,right,1,high,1,1.25200000000001,153.951,155.203,1
1,m,26,right,speeded,low,1,35,0.049,1,low,0,left,1,low,0,1.32500000000002,158.433,159.758,1
1,m,26,right,speeded,low,1,36,0.046,0,low,0,left,1,low,0,1.45699999999999,162.948,164.405,1
1,m,26,right,speeded,low,1,37,0.049,1,low,0,left,1,low,0,1.88699999999997,167.497,169.384,1
1,m,26,right,speeded,low,1,38,0.049,0,low,0,left,1,low,0,1.905,172.012,173.917,1
1,m,26,right,speeded,low,1,39,0.049,1,low,0,left,1,low,0,1.95400000000001,176.56,178.514,1
1,m,26,right,speeded,low,1,40,0.071,0,high,1,right,1,high,1,1.221,181.076,182.297,1
1,m,26,right,speeded,low,1,41,0.071,1,high,1,right,1,high,1,1.46599999999998,185.591,187.057,1
1,m,26,right,speeded,low,1,42,0.052,0,low,0,left,1,low,0,1.57000000000002,190.123,191.693,1
1,m,26,right,speeded,low,1,43,0.068,1,high,0,left,0,low,0,1.63499999999999,194.654,196.289,1
1,m,26,right,speeded,low,1,44,0.074,0,high,1,right,1,high,1,1.43099999999998,199.186,200.617,1
1,m,26,right,speeded,low,1,45,0.046,1,low,0,left,1,low,0,1.40800000000002,203.718,205.126,1
1,m,26,right,speeded,low,1,46,0.071,0,high,1,right,1,high,1,1.422,208.266,209.688,1
1,m,26,right,speeded,low,1,47,0.046,1,low,0,left,1,low,0,1.49799999999999,212.798,214.296,1
1,m,26,right,speeded,low,1,48,0.074,0,high,1,right,1,high,1,1.51300000000001,217.346,218.859,1
1,m,26,right,speeded,low,1,49,0.068,1,high,1,right,1,high,1,0.789000000000016,221.861,222.65,1
1,m,26,right,speeded,low,1,50,0.046,0,low,0,left,1,low,0,1.44900000000001,226.393,227.842,1
1,m,26,right,speeded,low,1,51,0.055,1,low,1,right,0,high,1,1.08500000000001,230.892,231.977,1
1,m,26,right,speeded,low,1,52,0.046,0,low,0,left,1,low,0,1.386,235.424,236.81,1
1,m,26,right,speeded,low,1,53,0.052,1,low,1,right,0,high,1,1.62199999999999,239.955,241.577,1
1,m,26,right,speeded,low,1,54,0.065,0,high,0,left,0,low,0,1.56399999999999,244.454,246.018,1
1,m,26,right,speeded,low,1,55,0.065,1,high,1,right,1,high,1,2.233,248.952,251.185,1
1,m,26,right,speeded,low,1,56,0.046,0,low,0,left,1,low,0,1.798,253.8,255.598,1
1,m,26,right,speeded,low,1,57,0.055,1,low,0,left,1,low,0,1.75600000000003,258.315,260.071,1
1,m,26,right,speeded,low,1,58,0.074,0,high,1,right,1,high,1,1.53199999999998,262.863,264.395,1
1,m,26,right,speeded,low,1,59,0.068,1,high,1,right,1,high,1,2.065,267.362,269.427,1
1,m,26,right,speeded,low,1,60,0.074,0,high,1,right,1,high,1,1.63499999999999,272.043,273.678,1
1,m,26,right,speeded,low,1,61,0.049,1,low,0,left,1,low,0,1.73399999999998,276.608,278.342,1
1,m,26,right,speeded,low,1,62,0.065,0,high,1,right,1,high,1,1.649,281.14,282.789,1
1,m,26,right,speeded,low,1,63,0.074,1,high,1,right,1,high,1,2.30900000000003,285.688,287.997,1
1,m,26,right,speeded,low,1,64,0.065,0,high,1,right,1,high,1,2.089,290.602,292.691,1
1,m,26,right,speeded,low,1,65,0.049,1,low,0,left,1,low,0,1.83300000000003,295.25,297.083,1
1,m,26,right,speeded,low,1,66,0.052,0,low,0,left,1,low,0,1.47300000000001,299.815,301.288,1
